Date,HOFutures
2019-12-31,2.028
2019-12-30,2.041
2019-12-27,2.05
2019-12-26,2.052
2019-12-24,2.036
2019-12-23,2.022
2019-12-20,2.022
2019-12-19,2.03
2019-12-18,2.02
2019-12-17,2.033
2019-12-16,2.005
2019-12-13,1.986
2019-12-12,1.951
2019-12-11,1.929
2019-12-10,1.966
2019-12-09,1.944
2019-12-06,1.952
2019-12-05,1.933
2019-12-04,1.923
2019-12-03,1.88
2019-12-02,1.886
2019-11-27,1.947
2019-11-26,1.961
2019-11-25,1.944
2019-11-22,1.929
2019-11-21,1.945
2019-11-20,1.892
2019-11-19,1.857
2019-11-18,1.905
2019-11-15,1.948
2019-11-14,1.918
2019-11-13,1.913
2019-11-12,1.898
2019-11-11,1.914
2019-11-08,1.918
2019-11-07,1.92
2019-11-06,1.928
2019-11-05,1.957
2019-11-04,1.941
2019-11-01,1.933
2019-10-31,1.878
2019-10-30,1.914
2019-10-29,1.956
2019-10-28,1.962
2019-10-25,1.98
2019-10-24,1.986
2019-10-23,1.964
2019-10-22,1.944
2019-10-21,1.941
2019-10-18,1.947
2019-10-17,1.948
2019-10-16,1.943
2019-10-15,1.91
2019-10-14,1.915
2019-10-11,1.958
2019-10-10,1.921
2019-10-09,1.919
2019-10-08,1.91
2019-10-07,1.903
2019-10-04,1.895
2019-10-03,1.876
2019-10-02,1.873
2019-10-01,1.899
2019-09-30,1.906
2019-09-27,1.942
2019-09-26,1.955
2019-09-25,1.954
2019-09-24,1.968
2019-09-23,1.997
2019-09-20,1.986
2019-09-19,2.005
2019-09-18,1.973
2019-09-17,1.99
2019-09-16,2.084
2019-09-13,1.878
2019-09-12,1.885
2019-09-11,1.903
2019-09-10,1.931
2019-09-09,1.928
2019-09-06,1.9
2019-09-05,1.889
2019-09-04,1.88
2019-09-03,1.803
2019-09-02,1.837
2019-08-30,1.828
2019-08-29,1.864
2019-08-28,1.851
2019-08-27,1.816
2019-08-26,1.792
2019-08-23,1.816
2019-08-22,1.841
2019-08-21,1.857
2019-08-20,1.854
2019-08-19,1.833
2019-08-16,1.813
2019-08-15,1.811
2019-08-14,1.844
2019-08-13,1.877
2019-08-12,1.806
2019-08-09,1.808
2019-08-08,1.777
2019-08-07,1.753
2019-08-06,1.824
2019-08-05,1.836
2019-08-02,1.89
2019-08-01,1.853
2019-07-31,1.955
2019-07-30,1.944
2019-07-29,1.911
2019-07-26,1.904
2019-07-25,1.914
2019-07-24,1.909
2019-07-23,1.922
2019-07-22,1.9
2019-07-19,1.89
2019-07-18,1.863
2019-07-17,1.893
2019-07-16,1.905
2019-07-15,1.952
2019-07-12,1.98
2019-07-11,1.979
2019-07-10,1.991
2019-07-09,1.911
2019-07-08,1.895
2019-07-05,1.905
2019-07-04,1.899
2019-07-03,1.899
2019-07-02,1.886
