Date,HOSpot
2019-12-31,2.004
2019-12-30,2.017
2019-12-27,2.028
2019-12-26,2.03
2019-12-24,2.017
2019-12-23,2.004
2019-12-20,1.996
2019-12-19,2.006
2019-12-18,2.001
2019-12-17,2.011
2019-12-16,1.982
2019-12-13,1.957
2019-12-12,1.934
2019-12-11,1.91
2019-12-10,1.942
2019-12-09,1.92
2019-12-06,1.932
2019-12-05,1.91
2019-12-04,1.906
2019-12-03,1.866
2019-12-02,1.866
2019-11-29,1.927
2019-11-28,1.927
2019-11-27,1.927
2019-11-26,1.951
2019-11-25,1.932
2019-11-22,1.925
2019-11-21,1.926
2019-11-20,1.882
2019-11-19,1.842
2019-11-18,1.885
2019-11-15,1.935
2019-11-14,1.906
2019-11-13,1.909
2019-11-12,1.886
2019-11-11,1.906
2019-11-08,1.912
2019-11-07,1.908
2019-11-06,1.921
2019-11-05,1.951
2019-11-04,1.937
2019-11-01,1.925
2019-10-31,1.882
2019-10-30,1.909
2019-10-29,1.952
2019-10-28,1.959
2019-10-25,1.975
2019-10-24,1.988
2019-10-23,1.968
2019-10-22,1.949
2019-10-21,1.946
2019-10-18,1.949
2019-10-17,1.956
2019-10-16,1.943
2019-10-15,1.889
2019-10-14,1.89
2019-10-11,1.936
2019-10-10,1.913
2019-10-09,1.904
2019-10-08,1.886
2019-10-07,1.894
2019-10-04,1.88
2019-10-03,1.867
2019-10-02,1.85
2019-10-01,1.885
2019-09-30,1.883
2019-09-27,1.928
2019-09-26,1.936
2019-09-25,1.939
2019-09-24,1.944
2019-09-23,1.978
2019-09-20,1.985
2019-09-19,2.012
2019-09-18,1.976
2019-09-17,1.988
2019-09-16,2.069
2019-09-13,1.863
2019-09-12,1.871
2019-09-11,1.898
2019-09-10,1.918
2019-09-09,1.914
2019-09-06,1.88
2019-09-05,1.868
2019-09-04,1.869
2019-09-03,1.774
2019-09-02,1.801
2019-08-30,1.801
2019-08-29,1.831
2019-08-28,1.821
2019-08-27,1.791
2019-08-26,1.774
2019-08-23,1.774
2019-08-22,1.802
2019-08-21,1.82
2019-08-20,1.814
2019-08-19,1.795
2019-08-16,1.771
2019-08-15,1.768
2019-08-14,1.798
2019-08-13,1.831
2019-08-12,1.776
2019-08-09,1.77
2019-08-08,1.749
2019-08-07,1.748
2019-08-06,1.792
2019-08-05,1.794
2019-08-02,1.837
2019-08-01,1.83
2019-07-31,1.921
2019-07-30,1.918
2019-07-29,1.882
2019-07-26,1.874
2019-07-25,1.876
2019-07-24,1.876
2019-07-23,1.893
2019-07-22,1.874
2019-07-19,1.867
2019-07-18,1.847
